time,val
0,74.8125
8,72.6875
16,70.4375
24,68.1875
32,66.3125
40,65.125
48,65
56,65.9375
64,67.6875
72,69.6875
80,71.5
88,72.6875
96,73
104,72.3125
112,70.9375
120,68.9375
128,66.75
136,64.6875
144,62.9375
152,61.5625
160,60.625
168,60
176,59.625
184,59.375
192,59.25
200,59.25
208,59.25
216,59.0625
224,58.625
232,57.75
240,56.5
248,55
256,53.4375
264,52
272,51.0625
280,51.125
288,53.25
296,58.625
304,67.6875
312,79.5
320,91.75
328,101.75
336,107.688
344,109
352,106.375
360,101.188
368,95
376,89.125
384,84.4375
392,81.0625
400,79
408,77.8125
416,77.125
424,76.625
432,76
440,75.0625
448,73.75
456,72.0625
464,70.1875
472,68.4375
480,67.25
488,66.875
496,67.3125
504,68.25
512,69.5
520,70.6875
528,71.625
536,72.1875
544,72.375
552,72.0625
560,71.4375
568,70.6875
576,69.8125
584,69.0625
592,68.4375
600,67.8125
608,67.125
616,66.3125
624,65.25
632,63.8125
640,62.25
648,60.625
656,59.1875
664,58
672,57.125
680,56.5625
688,56.1875
696,55.875
704,55.75
712,56
720,57.6875
728,62.1875
736,70.6875
744,82.75
752,96.25
760,108.125
768,116
776,119
784,117.688
792,113.5
800,108.188
808,103.062
816,98.8125
824,95.625
832,93.375
840,91.8125
848,90.75
856,90
864,89.3125
872,88.5
880,87.4375
888,85.9375
896,84
904,81.75
912,79.3125
920,76.625
928,74
936,72.125
944,71.5625
952,72.3125
960,73.875
968,75.6875
976,77.3125
984,78.4375
992,79
1000,78.9375
1008,78.125
1016,76.6875
1024,74.8125
1032,72.6875
1040,70.5625
1048,68.625
1056,67
1064,65.75
1072,64.875
1080,64.3125
1088,63.875
1096,63.5
1104,63.1875
1112,63
1120,62.8125
1128,62.5625
1136,62.1875
1144,61.5
1152,60.625
1160,59.9375
1168,60.375
1176,63.625
1184,71
1192,82.5
1200,96.0625
1208,108.562
1216,117.438
1224,121.375
1232,120.875
1240,117.125
1248,112
1256,106.812
1264,102.438
1272,98.9375
1280,96.1875
1288,93.875
1296,91.8125
1304,89.9375
1312,88.1875
1320,86.75
1328,85.625
1336,84.8125
1344,84.125
1352,83.25
1360,82
1368,80.4375
1376,78.9375
1384,78
1392,78
1400,78.625
1408,79.5625
1416,80.25
1424,80.375
1432,79.8125
1440,78.75
1448,77.375
1456,76
1464,74.6875
1472,73.625
1480,72.6875
1488,71.875
1496,71.25
1504,70.625
1512,70.1875
1520,69.6875
1528,69.1875
1536,68.5
1544,67.6875
1552,66.5625
1560,65.3125
1568,63.875
1576,62.4375
1584,61
1592,59.75
1600,58.875
1608,58.5625
1616,59.6875
1624,63.625
1632,71.5625
1640,83.6875
1648,97.875
1656,110.875
1664,119.875
1672,123.5
1680,122.125
1688,117.312
1696,110.938
1704,104.562
1712,99.3125
1720,95.625
1728,93.375
1736,92.1875
1744,91.5625
1752,91.0625
1760,90.625
1768,90.0625
1776,89.5625
1784,88.875
1792,88
1800,86.625
1808,84.5625
1816,81.9375
1824,79.125
1832,76.8125
1840,75.375
1848,75.125
1856,75.875
1864,77.1875
1872,78.5625
1880,79.75
